ID,Trace of Learning,Learning Time
342.0,"[5, 18, 12, 7, 13, 24, 19, 3, 6, 17, 9]","[93, 53, 76, 27, 45, 8, 37, 21, 82, 98, 65]"
343.0,"[12, 13, 5, 19, 18]","[76, 41, 92, 39, 49]"
344.0,"[5, 12, 13, 18, 19, 7, 3, 24, 6, 17, 9, 2, 4, 20, 21, 1, 8]","[95, 77, 45, 50, 38, 27, 22, 6, 84, 96, 65, 43, 77, 14, 43, 79, 15]"
345.0,"[12, 13, 24, 5, 19, 18, 7, 3, 17]","[77, 41, 7, 93, 37, 49, 24, 18, 99]"
346.0,"[12, 5, 13, 18, 24, 7, 19, 3, 6, 17]","[76, 95, 45, 52, 5, 25, 39, 21, 84, 96]"
347.0,"[12, 13, 5, 19, 18, 24, 6, 7, 3, 17, 9]","[74, 42, 92, 36, 50, 9, 84, 25, 20, 96, 64]"
348.0,"[12, 5, 18, 7, 13, 19, 3, 24, 17, 9, 6, 2, 4, 21, 20, 1, 8, 14]","[75, 96, 50, 23, 43, 37, 20, 9, 96, 65, 83, 47, 78, 44, 10, 79, 16, 56]"
349.0,"[5, 18, 12, 13, 19, 24, 6, 7, 3, 17, 9, 2, 4, 20]","[92, 52, 77, 42, 39, 9, 83, 26, 18, 98, 65, 43, 74, 14]"
350.0,"[5, 12, 18, 7, 13, 19, 24, 3, 17, 9, 6, 2, 4, 20, 1, 14, 21, 8, 16]","[95, 75, 50, 25, 42, 38, 9, 20, 96, 63, 84, 46, 76, 11, 78, 56, 43, 15, 88]"
351.0,"[12, 5, 13, 19, 18, 24, 7, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1]","[78, 93, 41, 38, 53, 8, 27, 84, 20, 98, 64, 45, 75, 45, 15, 13, 82]"
352.0,"[5, 12, 13, 19, 18, 24, 6, 7, 3, 17, 9, 2, 4, 21]","[94, 74, 44, 39, 52, 7, 84, 23, 21, 99, 65, 45, 77, 45]"
353.0,"[5, 12, 13, 24, 18, 7, 19, 6, 3, 17, 9, 2]","[96, 77, 42, 8, 51, 25, 37, 82, 19, 96, 64, 44]"
354.0,"[5, 18, 12, 7, 13, 19, 3, 17, 9, 24, 6, 2, 4, 21]","[93, 53, 77, 25, 43, 36, 22, 99, 62, 9, 82, 46, 74, 42]"
355.0,"[12, 13, 5, 24, 19, 18, 7]","[78, 45, 92, 5, 36, 50, 27]"
356.0,"[5, 12, 18, 7, 13, 19, 24, 3]","[95, 74, 53, 27, 43, 36, 8, 22]"
357.0,"[5, 18, 12, 7, 13, 19, 24, 3, 6]","[93, 50, 77, 27, 44, 36, 8, 18, 81]"
358.0,"[5, 12, 18, 7, 13]","[93, 78, 51, 23, 44]"
359.0,"[5, 12, 18, 7, 13, 24, 19, 6, 3, 17, 9, 2, 4, 21, 20]","[96, 76, 50, 25, 41, 5, 36, 81, 19, 98, 62, 46, 75, 46, 12]"
360.0,"[5, 12, 18, 13, 24, 19, 6, 7, 3, 17, 9, 2, 4, 21, 20]","[92, 74, 51, 43, 5, 37, 82, 24, 20, 99, 61, 47, 74, 43, 10]"
361.0,"[5, 12, 13, 19, 24, 18, 7, 3, 17, 9, 6, 2, 4, 21, 8, 20]","[92, 74, 41, 38, 9, 50, 23, 19, 96, 62, 82, 47, 78, 44, 12, 11]"
362.0,"[5, 12, 13, 18, 19, 24, 6, 7, 3, 17, 9, 2, 4, 21]","[96, 74, 45, 52, 36, 6, 80, 24, 19, 97, 65, 46, 75, 42]"
363.0,"[5, 12, 13, 24, 19, 18, 6, 7, 3, 17]","[93, 74, 45, 6, 36, 53, 84, 26, 19, 99]"
364.0,"[12, 13, 5, 19, 18, 24, 7]","[77, 44, 94, 36, 49, 8, 26]"
365.0,"[12, 13, 5, 24, 18, 19]","[74, 41, 96, 5, 53, 39]"
366.0,"[12, 5, 13, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4]","[78, 92, 41, 39, 9, 52, 80, 27, 21, 98, 63, 44, 78]"
367.0,"[5, 12, 13, 19, 18, 24, 7, 3, 17, 6, 9, 2, 4, 21, 8, 20, 1, 23, 14, 11]","[94, 74, 45, 39, 51, 7, 27, 18, 100, 83, 65, 44, 75, 46, 15, 12, 80, 66, 60, 33]"
368.0,"[12, 5, 18, 7, 13, 24, 19, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1, 16, 14, 10]","[76, 96, 52, 24, 41, 8, 37, 84, 22, 98, 61, 45, 78, 44, 12, 12, 82, 86, 58, 21]"
369.0,"[5, 12, 18, 7, 13, 19, 3, 24, 17, 6, 9, 2]","[95, 76, 50, 25, 45, 37, 21, 5, 100, 81, 64, 45]"
370.0,"[5, 12, 13, 18, 19, 7, 24, 6]","[93, 78, 41, 53, 40, 25, 7, 82]"
371.0,"[12, 5, 13, 19, 18, 7, 24]","[77, 92, 44, 39, 53, 24, 8]"
372.0,"[5, 12, 13, 19, 24, 18, 6, 7, 3]","[94, 75, 44, 38, 5, 53, 82, 27, 20]"
373.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 20]","[75, 44, 94, 40, 5, 52, 84, 26, 22, 98, 61, 47, 77, 13]"
374.0,"[5, 12, 13, 19, 24, 18, 7, 6, 3, 17, 9, 2, 4, 20, 21, 1, 8, 16]","[93, 76, 44, 36, 5, 49, 25, 81, 18, 100, 62, 46, 77, 11, 45, 79, 13, 88]"
375.0,"[12, 13, 24, 5, 18, 19, 7, 6, 3, 17]","[77, 42, 9, 93, 53, 39, 23, 83, 19, 96]"
376.0,"[5, 18, 12, 7, 13, 24, 6, 19, 3, 17, 9, 2, 4]","[96, 53, 75, 25, 44, 8, 84, 37, 19, 97, 63, 43, 78]"
377.0,"[5, 18, 7, 12, 13, 19, 24, 6, 3, 17, 9, 2, 4]","[94, 50, 27, 78, 44, 39, 5, 82, 19, 96, 62, 45, 74]"
378.0,"[12, 13, 5, 19, 18, 7, 3, 17, 24, 6, 9, 2, 4, 21, 20, 1, 8]","[74, 44, 95, 39, 49, 25, 21, 96, 9, 80, 62, 46, 77, 46, 10, 78, 13]"
379.0,"[5, 12, 13, 18, 19, 24, 6, 7, 3]","[96, 77, 44, 51, 39, 5, 82, 26, 18]"
380.0,"[12, 13, 24, 5, 18, 19, 7, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1, 14, 16]","[75, 44, 9, 96, 51, 38, 27, 82, 20, 100, 62, 43, 77, 46, 13, 10, 79, 56, 84]"
381.0,"[12, 5, 18, 13, 7, 19, 3, 24, 17, 6, 9, 2, 4, 20]","[74, 96, 50, 44, 24, 38, 22, 5, 100, 80, 64, 46, 74, 13]"
382.0,"[5, 18, 7, 12, 13, 19, 24, 3, 17, 9, 6, 2, 4, 20, 21]","[95, 49, 25, 78, 44, 38, 5, 20, 99, 61, 84, 43, 77, 10, 44]"
383.0,"[5, 18, 12, 7, 13, 24, 19, 6, 3, 17, 9, 2, 4, 21, 8]","[93, 53, 75, 23, 41, 9, 37, 84, 21, 98, 62, 43, 74, 44, 14]"
384.0,"[5, 18, 12, 7, 13, 19, 3, 24, 6]","[92, 52, 78, 26, 42, 37, 22, 9, 83]"
385.0,"[12, 5, 18, 13, 24, 7, 19, 3, 6, 17, 9, 2]","[75, 92, 52, 42, 8, 24, 38, 20, 84, 99, 63, 45]"
386.0,"[12, 5, 13, 19, 18, 7, 3, 24]","[77, 94, 44, 39, 52, 25, 20, 8]"
387.0,"[5, 18, 12, 13, 24, 7, 6, 19, 3, 17, 9, 2, 4]","[95, 52, 75, 43, 5, 25, 82, 38, 21, 97, 61, 44, 75]"
388.0,"[5, 12, 13, 19, 24, 18]","[95, 76, 43, 37, 7, 52]"
389.0,"[5, 18, 7, 12, 13]","[96, 52, 24, 77, 42]"
390.0,"[12, 5, 18, 7, 13, 24, 6, 19, 3, 17, 9, 2, 4, 20, 1, 14, 21]","[77, 96, 50, 27, 45, 6, 82, 36, 18, 99, 61, 45, 78, 12, 81, 56, 44]"
391.0,"[12, 13, 5, 18, 24, 6, 19, 7, 3, 17, 9, 2, 4]","[77, 41, 94, 53, 7, 80, 37, 23, 22, 100, 65, 43, 75]"
392.0,"[5, 12, 13, 18, 24, 6, 19, 7, 3, 17, 9, 2, 4, 20, 21, 8, 1, 23, 16]","[94, 74, 44, 50, 8, 84, 40, 23, 20, 96, 64, 43, 74, 11, 42, 14, 81, 69, 86]"
393.0,"[5, 18, 12, 13, 7, 19, 24, 6, 3, 17, 9, 2, 4, 20, 1, 14]","[95, 52, 78, 43, 27, 37, 7, 82, 21, 96, 61, 46, 78, 10, 80, 56]"
394.0,"[12, 5, 18, 7, 13, 19, 3, 17]","[78, 92, 50, 24, 41, 36, 22, 100]"
395.0,"[12, 5, 18, 7, 13, 19, 24, 3, 17, 6, 9]","[78, 96, 49, 27, 45, 38, 8, 22, 98, 82, 65]"
396.0,"[12, 13, 24, 5, 19, 18]","[78, 43, 6, 96, 37, 52]"
397.0,"[5, 12, 18, 7, 13, 19, 3, 24, 17, 9, 6, 2, 4, 21, 20, 1, 14]","[93, 77, 52, 27, 41, 39, 19, 5, 98, 63, 80, 45, 76, 42, 12, 80, 57]"
398.0,"[12, 5, 13, 24, 19, 18, 6, 7, 3, 17, 9]","[77, 95, 43, 6, 39, 50, 80, 25, 18, 100, 62]"
399.0,"[5, 12, 13, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21]","[95, 77, 44, 9, 38, 49, 82, 23, 22, 100, 62, 43, 75, 10, 44]"
400.0,"[12, 13, 24, 5, 18, 7, 6, 19, 3, 17, 9, 2, 4, 20, 1, 21, 8]","[76, 43, 8, 93, 50, 23, 81, 38, 21, 97, 65, 46, 76, 12, 80, 43, 14]"
401.0,"[5, 18, 12, 13, 24, 6, 7, 19, 3, 17, 9, 2, 4, 21, 20, 8, 1, 16, 23, 14]","[95, 50, 75, 42, 5, 82, 24, 38, 22, 100, 64, 45, 77, 46, 12, 13, 78, 86, 68, 57]"
402.0,"[5, 18, 12, 13, 7, 19, 24, 3, 6, 17, 9, 2, 4, 21, 8, 20, 1]","[93, 52, 76, 45, 27, 37, 5, 22, 80, 99, 64, 43, 75, 42, 14, 11, 79]"
403.0,"[5, 12, 18, 7, 13, 24, 6, 19, 3, 17, 9, 2, 4, 21, 20, 8, 1, 23, 14, 11]","[95, 75, 53, 26, 42, 9, 80, 39, 20, 98, 62, 45, 78, 44, 13, 16, 82, 65, 58, 34]"
404.0,"[12, 5, 18, 13, 7, 24, 19, 3, 17, 6, 9, 2, 4, 21, 8, 20, 1, 23, 16]","[77, 96, 51, 43, 23, 5, 37, 19, 99, 82, 62, 45, 78, 46, 13, 10, 81, 69, 88]"
405.0,"[12, 13, 5, 18, 7, 24, 19, 3, 6, 17, 9, 2, 4, 21]","[75, 42, 93, 53, 24, 6, 39, 19, 82, 98, 64, 45, 77, 42]"
406.0,"[5, 18, 12, 13, 24, 6, 7, 19, 3, 17, 9]","[92, 52, 75, 41, 9, 80, 24, 38, 20, 100, 63]"
407.0,"[12, 5, 18, 13, 24, 7, 19, 3, 17, 6, 9]","[76, 93, 53, 43, 6, 25, 37, 20, 99, 83, 64]"
408.0,"[12, 13, 5, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21]","[78, 45, 94, 6, 40, 49, 84, 24, 18, 99, 61, 43, 75, 13, 43]"
409.0,"[5, 12, 18, 13, 24, 6, 7]","[96, 74, 50, 45, 8, 82, 26]"
410.0,"[5, 18, 12, 13, 19, 7, 24, 3, 17, 6, 9, 2, 4, 20]","[93, 49, 75, 44, 36, 25, 5, 18, 99, 83, 63, 47, 76, 10]"
411.0,"[5, 18, 12, 7, 13, 19, 3, 17, 9, 24, 6, 2, 4, 20, 21]","[96, 52, 76, 26, 43, 38, 20, 99, 61, 5, 84, 43, 78, 13, 42]"
412.0,"[12, 5, 18, 13, 19, 24, 6]","[75, 95, 49, 42, 38, 5, 81]"
413.0,"[5, 18, 7, 12, 13, 19, 3, 24, 17, 9, 6, 2, 4]","[95, 50, 25, 77, 41, 37, 18, 5, 98, 64, 83, 44, 77]"
414.0,"[5, 12, 13, 18, 24, 7, 6, 19, 3, 17, 9, 2]","[94, 75, 42, 50, 9, 23, 84, 37, 21, 99, 61, 46]"
415.0,"[12, 13, 24, 5, 19, 18, 7, 6, 3, 17, 9, 2, 4, 20, 1, 21, 8, 16, 23, 14]","[76, 42, 8, 95, 39, 49, 26, 81, 20, 99, 64, 47, 76, 12, 81, 43, 12, 86, 65, 56]"
416.0,"[12, 5, 13, 19, 24, 18, 7, 3]","[74, 93, 44, 38, 5, 52, 27, 21]"
417.0,"[12, 5, 13, 19, 18, 24, 7, 3, 17, 9, 6, 2, 4]","[74, 95, 44, 36, 52, 5, 27, 18, 96, 64, 81, 47, 77]"
418.0,"[12, 5, 13, 19, 18, 7, 3, 17, 24]","[74, 95, 41, 39, 52, 26, 22, 97, 9]"
419.0,"[12, 13, 5, 19, 24, 18, 7, 6, 3, 17, 9, 2, 4, 20, 21, 1, 14, 8, 23]","[76, 45, 92, 39, 8, 53, 27, 84, 21, 97, 62, 43, 74, 14, 45, 79, 57, 12, 67]"
420.0,"[12, 13, 5, 19, 18, 24, 7, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1, 23, 16]","[76, 41, 94, 39, 52, 7, 25, 80, 18, 96, 64, 43, 77, 43, 12, 10, 82, 65, 87]"
421.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21, 1, 14, 8, 23, 11]","[76, 44, 94, 37, 7, 51, 84, 27, 20, 96, 62, 46, 75, 12, 42, 82, 60, 13, 65, 34]"
422.0,"[12, 5, 18, 13, 19, 7, 3, 24, 17, 6, 9]","[75, 94, 49, 42, 38, 24, 20, 6, 100, 84, 64]"
423.0,"[5, 18, 12, 13, 19, 7, 24, 3, 6, 17, 9, 2, 4]","[96, 53, 76, 44, 40, 27, 9, 18, 80, 96, 63, 43, 77]"
424.0,"[5, 12, 18, 7, 13, 19, 24, 3, 6, 17, 9, 2, 4]","[93, 76, 53, 25, 42, 36, 9, 20, 81, 100, 65, 47, 75]"
425.0,"[5, 18, 12, 13, 19, 7, 3, 17, 24, 9, 6, 2, 4, 20, 1, 14]","[93, 53, 77, 42, 38, 24, 22, 97, 6, 64, 84, 43, 77, 11, 82, 59]"
426.0,"[5, 12, 13, 24, 18, 7, 19, 6, 3, 17, 9, 2, 4, 20, 21, 1, 14, 8, 16]","[95, 75, 45, 7, 52, 23, 39, 81, 22, 96, 61, 47, 77, 14, 43, 78, 58, 16, 87]"
427.0,"[12, 13, 5, 24, 18, 7, 6]","[78, 43, 95, 9, 52, 25, 80]"
428.0,"[12, 5, 13, 18, 19, 24, 7, 3, 6, 17, 9, 2, 4, 20, 1, 21, 8]","[75, 93, 45, 50, 38, 6, 24, 21, 80, 99, 64, 46, 76, 10, 79, 44, 15]"
429.0,"[12, 5, 18, 13, 24, 19, 7, 6]","[78, 95, 50, 41, 5, 39, 24, 82]"
430.0,"[12, 5, 13, 19, 18, 24, 7, 3, 6, 17, 9, 2, 4, 21, 8]","[78, 93, 41, 36, 53, 9, 26, 18, 84, 97, 65, 45, 75, 42, 14]"
431.0,"[12, 5, 13, 18, 19, 24, 7, 3, 6, 17, 9, 2, 4, 20, 21, 8]","[75, 95, 44, 53, 38, 9, 23, 22, 83, 98, 62, 47, 75, 14, 44, 15]"
432.0,"[12, 5, 18, 13, 19, 7, 24, 3, 6]","[76, 94, 52, 43, 40, 24, 7, 22, 83]"
433.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21]","[75, 42, 7, 95, 37, 51, 81, 27, 21, 100, 62, 46, 77, 14, 43]"
434.0,"[5, 18, 12, 7, 13, 19, 3, 17, 9, 24]","[95, 50, 78, 26, 43, 36, 22, 96, 61, 5]"
435.0,"[5, 18, 7, 12, 13, 19, 24, 3, 6]","[92, 50, 26, 74, 44, 36, 5, 20, 84]"
436.0,"[12, 5, 13, 19, 24, 18, 6, 7, 3, 17, 9]","[77, 95, 44, 38, 6, 53, 81, 25, 20, 97, 62]"
437.0,"[12, 13, 5, 24, 19, 18, 7, 6]","[77, 45, 93, 5, 36, 49, 24, 84]"
438.0,"[12, 13, 5, 19, 18, 24, 7, 3, 6, 17]","[78, 42, 94, 38, 51, 9, 25, 18, 82, 96]"
439.0,"[12, 5, 13, 24, 18, 7, 6, 19, 3, 17, 9, 2]","[74, 93, 43, 7, 50, 23, 80, 36, 21, 100, 65, 45]"
440.0,"[5, 18, 12, 7, 13, 24, 6, 19, 3, 17, 9, 2]","[96, 49, 75, 25, 45, 5, 80, 40, 18, 98, 61, 43]"
441.0,"[12, 13, 24, 5, 19, 18, 7, 3, 6, 17]","[75, 42, 5, 95, 39, 51, 26, 21, 82, 100]"
442.0,"[12, 5, 13, 18, 24, 7, 19, 6, 3, 17, 9, 2]","[78, 93, 44, 49, 5, 26, 39, 84, 22, 97, 62, 47]"
443.0,"[12, 5, 13, 18, 7, 24, 6, 19, 3, 17, 9]","[74, 95, 41, 51, 24, 5, 83, 39, 22, 100, 65]"
444.0,"[12, 5, 13, 19, 24, 18, 7, 3, 6]","[76, 92, 44, 40, 8, 53, 26, 20, 83]"
445.0,"[5, 18, 7, 12, 13, 24, 6, 19, 3, 17, 9, 2, 4, 20, 1]","[96, 52, 23, 77, 43, 8, 80, 38, 18, 99, 61, 43, 77, 13, 82]"
446.0,"[12, 5, 18, 13, 7, 19, 24]","[75, 94, 50, 44, 23, 36, 8]"
447.0,"[5, 18, 7, 12, 13, 24, 19, 3, 17, 9, 6, 2, 4]","[92, 52, 24, 78, 45, 6, 40, 22, 100, 61, 80, 45, 74]"
448.0,"[5, 12, 18, 13, 19, 7, 24, 3, 6, 17, 9, 2, 4, 20, 1, 21, 8, 14]","[92, 76, 51, 42, 36, 23, 5, 20, 80, 100, 65, 44, 76, 11, 82, 43, 15, 56]"
449.0,"[5, 12, 18, 7, 13, 24, 6, 19, 3, 17]","[93, 76, 51, 24, 42, 7, 83, 39, 18, 99]"
450.0,"[12, 5, 18, 7, 13, 19, 3, 24, 17, 6, 9, 2, 4]","[76, 94, 49, 24, 43, 40, 20, 7, 99, 80, 61, 47, 75]"
451.0,"[12, 13, 5, 24, 18, 19, 7, 6, 3, 17, 9, 2, 4]","[76, 42, 96, 6, 49, 37, 27, 83, 20, 97, 63, 45, 74]"
452.0,"[5, 18, 12, 13, 24, 19, 6, 7]","[96, 49, 78, 44, 8, 36, 82, 27]"
453.0,"[12, 5, 13, 18, 24, 6, 7, 19]","[77, 95, 44, 50, 5, 84, 26, 38]"
454.0,"[5, 12, 13, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4]","[94, 77, 41, 6, 38, 50, 83, 26, 20, 99, 61, 44, 77]"
455.0,"[5, 12, 13, 24, 18, 7, 6, 19, 3, 17, 9, 2, 4, 20, 1, 21]","[96, 76, 45, 8, 49, 27, 82, 37, 19, 96, 64, 45, 75, 10, 81, 43]"
456.0,"[5, 18, 7, 12, 13, 19, 24, 3, 6, 17, 9, 2, 4, 20, 1, 14, 21, 8, 23, 16]","[96, 51, 23, 77, 42, 37, 5, 20, 82, 100, 61, 44, 78, 14, 79, 57, 45, 15, 65, 84]"
457.0,"[12, 5, 13, 24, 19, 18, 7, 3, 17, 9, 6, 2, 4, 20, 1, 14, 21]","[75, 94, 44, 6, 39, 49, 23, 19, 100, 65, 80, 46, 74, 10, 78, 57, 44]"
458.0,"[12, 5, 13, 24, 19, 18, 7, 6, 3, 17, 9, 2]","[77, 96, 43, 5, 40, 52, 27, 83, 19, 98, 64, 43]"
459.0,"[12, 5, 13, 24, 18]","[74, 96, 41, 7, 51]"
460.0,"[12, 5, 18, 7, 13]","[78, 95, 53, 26, 41]"
461.0,"[5, 18, 7, 12, 13, 19, 24, 3, 17, 9, 6, 2]","[93, 50, 24, 75, 44, 39, 8, 18, 96, 65, 82, 47]"
462.0,"[5, 18, 7, 12, 13, 24, 6, 19, 3, 17]","[96, 49, 23, 76, 44, 5, 84, 40, 22, 98]"
463.0,"[5, 12, 18, 13, 19, 7, 24]","[92, 77, 50, 42, 38, 26, 8]"
464.0,"[5, 12, 13, 19, 24]","[96, 77, 45, 37, 6]"
465.0,"[12, 13, 24, 5, 19, 18]","[78, 44, 6, 93, 38, 49]"
466.0,"[5, 12, 18, 7, 13, 19, 24, 3, 6, 17, 9, 2, 4, 20, 21, 8, 1, 23, 16]","[94, 77, 51, 26, 42, 40, 5, 18, 82, 96, 65, 47, 74, 12, 44, 13, 82, 67, 88]"
467.0,"[12, 5, 13, 18, 24, 7, 6, 19, 3, 17, 9, 2, 4, 20, 21, 8]","[74, 94, 43, 50, 5, 25, 83, 39, 21, 97, 65, 44, 74, 12, 42, 12]"
468.0,"[5, 12, 13, 18, 24, 19, 7, 6, 3, 17, 9, 2, 4, 20, 21, 1, 8]","[95, 75, 45, 51, 9, 40, 26, 82, 20, 99, 61, 43, 78, 11, 45, 81, 12]"
469.0,"[12, 5, 18, 7, 13, 24]","[74, 96, 51, 23, 41, 6]"
470.0,"[12, 5, 13, 24, 18, 7, 6]","[76, 96, 44, 8, 53, 26, 80]"
471.0,"[5, 18, 7, 12, 13, 19, 24, 6, 3, 17]","[94, 49, 23, 74, 43, 36, 8, 83, 20, 97]"
472.0,"[5, 18, 7, 12, 13]","[94, 52, 25, 78, 44]"
473.0,"[5, 18, 12, 13, 24]","[94, 49, 75, 44, 5]"
474.0,"[12, 5, 13, 24, 19, 18, 7, 6, 3, 17, 9, 2, 4, 21, 20, 8]","[74, 92, 45, 5, 36, 49, 27, 82, 18, 98, 61, 45, 76, 43, 13, 12]"
475.0,"[12, 5, 18, 13, 24, 19, 6, 7, 3, 17, 9, 2, 4, 20, 1, 14, 21, 8, 16, 10]","[75, 92, 49, 42, 5, 39, 82, 25, 19, 100, 64, 47, 75, 12, 82, 57, 45, 13, 87, 23]"
476.0,"[5, 12, 13, 19, 18, 24, 6, 7, 3, 17, 9, 2, 4, 20, 1, 21, 14, 8, 23]","[94, 74, 43, 39, 50, 5, 80, 27, 21, 100, 61, 44, 74, 10, 82, 46, 58, 16, 68]"
477.0,"[5, 12, 18, 7, 13, 24, 6]","[92, 75, 51, 27, 41, 9, 81]"
478.0,"[12, 13, 24, 5, 18, 19, 6, 7]","[76, 44, 8, 94, 52, 39, 83, 25]"
479.0,"[12, 5, 18, 7, 13, 24, 6, 19, 3, 17, 9, 2, 4, 21, 8, 20, 1, 16]","[74, 94, 51, 24, 44, 8, 84, 36, 22, 99, 65, 44, 76, 44, 13, 11, 81, 88]"
480.0,"[12, 13, 24, 5, 18]","[75, 43, 7, 94, 51]"
481.0,"[12, 5, 18, 13, 24, 7, 19, 6, 3, 17, 9, 2, 4]","[75, 94, 49, 43, 6, 27, 36, 82, 18, 99, 61, 46, 74]"
482.0,"[5, 12, 18, 7, 13, 19, 24, 3, 6, 17, 9, 2, 4, 21]","[94, 74, 53, 26, 44, 40, 5, 19, 82, 100, 63, 44, 74, 45]"
483.0,"[12, 13, 24, 5, 19, 18, 7, 6, 3, 17, 9, 2, 4, 21]","[78, 41, 6, 93, 40, 50, 23, 82, 18, 96, 63, 47, 76, 46]"
484.0,"[12, 5, 13, 18, 19, 24]","[76, 92, 42, 51, 39, 5]"
485.0,"[12, 13, 24, 5, 18, 7]","[77, 44, 6, 92, 52, 24]"
486.0,"[12, 13, 5, 18, 7, 24, 6]","[75, 45, 96, 49, 25, 9, 83]"
487.0,"[5, 12, 18, 13, 19, 7, 3, 17, 9, 24, 6, 2, 4, 20, 1, 21, 14]","[95, 75, 53, 43, 37, 27, 18, 97, 65, 9, 81, 45, 74, 10, 79, 43, 57]"
488.0,"[12, 13, 5, 24, 18, 19, 7, 3, 6, 17, 9, 2, 4, 20, 1, 21, 8, 23]","[78, 45, 92, 9, 50, 38, 27, 20, 81, 97, 63, 46, 77, 12, 81, 46, 14, 69]"
489.0,"[5, 18, 12, 7, 13, 19, 3, 17, 24, 9, 6, 2, 4]","[96, 53, 77, 23, 45, 37, 19, 98, 6, 61, 82, 43, 76]"
490.0,"[12, 5, 18, 13, 19, 24, 7]","[75, 95, 52, 42, 40, 8, 24]"
491.0,"[12, 13, 24, 5, 18, 6, 7, 19, 3, 17, 9, 2, 4, 20, 1, 14]","[74, 43, 6, 92, 50, 81, 25, 37, 21, 99, 62, 43, 78, 11, 82, 59]"
492.0,"[12, 13, 24, 5, 19]","[78, 44, 6, 95, 37]"
493.0,"[12, 5, 13, 19, 18, 24, 6, 7, 3, 17, 9, 2]","[75, 92, 44, 36, 50, 5, 83, 23, 19, 99, 64, 45]"
494.0,"[5, 18, 12, 13, 7, 24, 19, 3, 17, 6, 9, 2, 4, 20, 1, 21, 8, 14, 16]","[95, 52, 75, 42, 25, 8, 39, 18, 99, 82, 62, 45, 78, 14, 81, 43, 13, 56, 84]"
495.0,"[5, 12, 18, 13, 24, 19, 7, 6, 3, 17, 9, 2]","[93, 77, 53, 45, 9, 37, 25, 80, 18, 97, 65, 45]"
496.0,"[12, 5, 13, 18, 7, 24, 6, 19, 3, 17]","[74, 92, 44, 53, 27, 6, 80, 39, 21, 97]"
497.0,"[12, 13, 5, 24, 18, 19, 6, 7, 3, 17, 9, 2]","[77, 43, 92, 5, 51, 39, 83, 25, 20, 98, 62, 46]"
498.0,"[12, 13, 5, 19, 18]","[78, 44, 95, 39, 50]"
499.0,"[12, 13, 5, 18, 7, 19]","[78, 43, 92, 51, 24, 36]"
500.0,"[5, 18, 7, 12, 13, 24, 19, 6, 3, 17, 9]","[94, 50, 26, 74, 45, 5, 39, 82, 18, 98, 63]"
501.0,"[5, 18, 12, 7, 13, 19, 3, 17, 24, 9, 6, 2]","[94, 52, 74, 23, 42, 37, 21, 96, 5, 61, 81, 43]"
502.0,"[5, 18, 12, 13, 24, 19, 6, 7, 3, 17, 9, 2, 4, 20, 21, 8, 1, 23]","[92, 53, 78, 42, 8, 38, 82, 26, 22, 96, 65, 43, 74, 14, 44, 14, 82, 67]"
503.0,"[5, 12, 18, 7, 13, 24, 6, 19, 3]","[92, 74, 53, 27, 41, 6, 83, 38, 22]"
504.0,"[5, 18, 7, 12, 13, 19, 24, 3, 17, 9, 6, 2, 4, 21, 8, 20]","[92, 53, 26, 75, 42, 37, 8, 18, 97, 63, 83, 44, 75, 42, 13, 11]"
505.0,"[5, 18, 7, 12, 13]","[96, 49, 23, 74, 41]"
506.0,"[12, 5, 18, 7, 13, 19, 3, 24, 6, 17, 9, 2, 4, 21, 20, 1, 8, 14, 23]","[77, 96, 53, 25, 42, 37, 21, 9, 84, 96, 61, 46, 75, 43, 11, 82, 13, 60, 67]"
507.0,"[12, 13, 5, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21, 1]","[77, 41, 93, 5, 39, 49, 83, 26, 21, 96, 62, 43, 77, 12, 45, 80]"
508.0,"[12, 13, 5, 24, 18, 19, 7, 6]","[75, 43, 93, 8, 52, 36, 26, 83]"
509.0,"[5, 18, 12, 7, 13, 24, 6, 19]","[93, 50, 77, 27, 43, 9, 81, 40]"
510.0,"[5, 12, 13, 19, 24, 18]","[92, 77, 43, 36, 8, 49]"
511.0,"[5, 12, 18, 7, 13, 24, 19, 3]","[93, 74, 50, 25, 41, 7, 38, 18]"
512.0,"[12, 5, 18, 13, 7, 19, 24]","[76, 92, 51, 42, 24, 37, 7]"
513.0,"[5, 18, 7, 12, 13, 19, 3, 17, 9, 24, 6, 2, 4, 21, 20, 8, 1]","[93, 50, 27, 74, 41, 36, 18, 100, 62, 9, 81, 43, 74, 43, 11, 13, 81]"
